City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
3,Karratha,AU,80.29,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
7,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
17,Atuona,PF,78.4,light rain,-9.8,-139.0333,Villa Enata
18,Rikitea,PF,78.15,light rain,-23.1203,-134.9692,People ThankYou
28,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
30,Castro,BR,79.36,few clouds,-24.7911,-50.0119,CHACARA BAILLY
36,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Vaini,TO,79.23,light rain,-21.2,-175.2,Keleti Beach Resort
45,Arica,CL,83.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
46,Cantanhede,BR,82.38,heavy intensity rain,-3.6333,-44.3767,HOTEL FE EM DEUS
53,Beira,MZ,82.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
54,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
58,Caravelas,BR,85.19,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
59,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
63,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
64,Grand-Lahou,CI,81.01,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
69,Guarapari,BR,85.89,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
71,Oeiras Do Para,BR,87.15,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
74,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Kanniyakumari,IN,78.33,scattered clouds,8.0833,77.5667,Sparsa
80,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
81,Tutoia,BR,89.58,broken clouds,-2.7619,-42.2744,Pousada Guará's
82,Arraial Do Cabo,BR,85.86,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
85,Gamboma,CG,82.72,few clouds,-1.8764,15.8644,Residence N'Keni
88,Sibolga,ID,77.67,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
94,Labuan,MY,82.11,few clouds,5.2767,115.2417,Tiara Labuan Hotel
98,Rio Grande,BR,80.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
101,Kalmunai,LK,77.31,overcast clouds,7.4167,81.8167,VS Villa
107,Piacabucu,BR,85.35,clear sky,-10.4056,-36.4344,Piaçabuçu News
108,Flores,GT,80.89,broken clouds,16.9226,-89.8994,Quinta Maya Hotel
109,Kavieng,PG,81.52,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
113,Stabat,ID,77.2,overcast clouds,3.761,98.4513,Link VII damai
118,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
121,Lompoc,US,76.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
122,Abonnema,NG,82.4,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
123,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
124,Trairi,BR,84.88,broken clouds,-3.2778,-39.2689,janelas do mar
131,Gizo,SB,82.26,light rain,-8.103,156.8419,Imagination Island
133,Maraba,BR,87.98,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
137,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
138,Luanda,AO,82.4,clear sky,-8.8368,13.2343,Hotel Fórum
139,Dingle,PH,75.25,few clouds,10.9995,122.6711,SEGAYA PROPERTY
141,Kirakira,SB,80.33,light rain,-10.4544,161.9205,SanBiz Lodge
143,Bubaque,GW,77.76,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
146,Cidreira,BR,78.06,clear sky,-30.1811,-50.2056,Hotel Castelo
148,Impfondo,CG,79.93,few clouds,1.6381,18.0667,Auberge La Place de Jules
152,Natitingou,BJ,83.73,few clouds,10.3042,1.3796,Auberge Centrale
154,Bengkulu,ID,75.47,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
155,Ranong,TH,75.78,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
157,New Amsterdam,GY,83.62,broken clouds,6.25,-57.5167,Little Rock Suites
162,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
165,Palmerston,AU,80.58,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
172,Balabac,PH,79.59,broken clouds,7.9868,117.0645,Batalla’s Lodging House
173,Adelaide,AU,80.19,clear sky,-34.9333,138.6,The Chancellor on Currie
175,Khudumelapye,BW,79.27,broken clouds,-23.8833,24.75,
176,Chancay,PE,80.33,scattered clouds,-11.5714,-77.2672,Hotel Madre Perla
191,Faanui,PF,81.52,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,Rio Gallegos,AR,82.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
196,Santiago Del Estero,AR,88.68,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
197,Brokopondo,SR,83.97,broken clouds,4.75,-55.1667,Matu Island
200,Inirida,CO,76.8,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
207,Ariquemes,BR,81.05,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
209,Grand Gaube,MU,79.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
211,Ilebo,CD,76.05,light rain,-4.3167,20.5833,Hôtel BUMAK
218,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
236,Hambantota,LK,78.19,overcast clouds,6.1241,81.1185,Bungalow 63
237,Kigoma,TZ,75.79,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
238,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
239,Bantogon,PH,78.08,scattered clouds,6.5333,124.0333,Kalamansig Greenhome
240,Coihaique,CL,77.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
244,Sao Jose Da Coroa Grande,BR,84.61,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
245,Sumbe,AO,77.22,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
249,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
251,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
256,Camana,PE,75.63,overcast clouds,-16.6228,-72.7111,Hostal Morales
257,Manokwari,ID,78.39,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
260,Bandarbeyla,SO,75.67,few clouds,9.4942,50.8122,JABIR HOTEL
261,Mattru,SL,87.55,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
262,Kieta,PG,80.35,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
267,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
268,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
271,Auki,SB,79.09,light rain,-8.7676,160.7034,Auki Motel
274,Bonoua,CI,80.22,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
277,Amapa,BR,79.54,moderate rain,1.0,-52.0,
278,Mendoza,AR,83.73,few clouds,-32.8908,-68.8272,Hotel Mendoza
279,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
