City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Jamestown,US,42.097,-79.2353,38.52,55,0,12.66,clear sky
1,Yellowknife,CA,62.456,-114.3525,-2.58,90,100,13.8,light snow
2,Panzhihua,CN,26.5851,101.7128,46.33,63,0,1.12,clear sky
3,Karratha,AU,-20.7377,116.8463,80.29,67,96,17.2,overcast clouds
4,Kodiak,US,57.79,-152.4072,26.11,74,100,4.61,overcast clouds
5,Filadelfia,US,39.9523,-75.1638,37.76,91,100,3.0,mist
6,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,77,40,14.97,scattered clouds
7,Avarua,CK,-21.2078,-159.775,78.85,83,40,17.27,scattered clouds
8,Punta Arenas,CL,-53.15,-70.9167,60.82,87,100,5.75,light rain
9,Kapaa,US,22.0752,-159.319,73.72,74,75,14.97,broken clouds
10,Busselton,AU,-33.65,115.3333,59.04,84,82,4.88,broken clouds
11,Barrow,US,71.2906,-156.7887,-27.38,62,0,8.05,clear sky
12,New Norfolk,AU,-42.7826,147.0587,58.91,66,7,1.59,clear sky
13,Mataura,NZ,-46.1927,168.8643,42.48,99,12,1.52,few clouds
14,Ushuaia,AR,-54.8,-68.3,69.46,49,0,8.05,clear sky
15,Albany,US,42.6001,-73.9662,39.67,75,100,1.01,overcast clouds
16,Bluff,NZ,-46.6,168.3333,42.8,87,41,4.54,scattered clouds
17,Atuona,PF,-9.8,-139.0333,78.4,76,26,18.16,light rain
18,Rikitea,PF,-23.1203,-134.9692,78.15,76,12,13.53,light rain
19,Baie-Comeau,CA,49.2168,-68.1489,21.2,93,100,6.91,light snow
20,Itaporanga,BR,-7.3044,-38.1503,97.52,26,89,5.53,overcast clouds
21,Carnarvon,AU,-24.8667,113.6333,73.47,64,0,18.41,clear sky
22,Byron Bay,AU,-28.65,153.6167,66.87,81,92,10.71,overcast clouds
23,Pano Polemidia,CY,34.7,33.0,56.55,72,20,5.75,few clouds
24,Havoysund,NO,70.9963,24.6622,29.28,92,98,13.33,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,-14.31,75,100,10.0,light snow
26,Sur,OM,22.5667,59.5289,68.83,61,0,2.28,clear sky
27,Ancud,CL,-41.8697,-73.8203,74.73,63,49,11.32,scattered clouds
28,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,21.85,scattered clouds
29,Tura,IN,25.5198,90.2201,53.74,70,4,2.84,clear sky
30,Castro,BR,-24.7911,-50.0119,79.36,47,20,6.87,few clouds
31,Clyde River,CA,70.4692,-68.5914,-36.17,67,0,4.61,clear sky
32,Port Elizabeth,ZA,-33.918,25.5701,71.89,78,0,5.75,clear sky
33,Tombouctou,ML,20.0,-3.0,73.98,8,6,7.61,clear sky
34,Kaitangata,NZ,-46.2817,169.8464,51.93,86,25,2.91,scattered clouds
35,Norman Wells,CA,65.282,-126.8329,-20.16,69,75,17.27,light snow
36,Puerto Ayora,EC,-0.7393,-90.3518,80.56,66,9,11.9,clear sky
37,Mahon,ES,39.8885,4.2658,52.36,71,0,3.44,clear sky
38,Laguna,US,38.421,-121.4238,65.01,71,0,1.01,clear sky
39,Vaini,TO,-21.2,-175.2,79.23,82,100,26.46,light rain
40,Necochea,AR,-38.5473,-58.7368,70.03,53,25,10.38,scattered clouds
41,Cabo San Lucas,MX,22.8909,-109.9124,74.61,59,0,4.9,clear sky
42,Cap-Aux-Meules,CA,47.3821,-61.8597,26.65,80,100,20.71,overcast clouds
43,Plettenberg Bay,ZA,-34.0527,23.3716,69.6,61,63,1.39,broken clouds
44,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,16.11,scattered clouds
45,Arica,CL,-18.475,-70.3042,83.75,60,0,14.97,clear sky
46,Cantanhede,BR,-3.6333,-44.3767,82.38,81,95,2.66,heavy intensity rain
47,Dikson,RU,73.5069,80.5464,-2.29,91,100,27.34,overcast clouds
48,Vestmanna,FO,62.1564,-7.1664,38.32,75,75,24.16,broken clouds
49,Tasiilaq,GL,65.6145,-37.6368,26.76,51,100,48.07,overcast clouds
50,Anadyr,RU,64.75,177.4833,-23.3,76,0,2.24,clear sky
51,Fairbanks,US,64.8378,-147.7164,-2.24,76,100,0.0,haze
52,Bredasdorp,ZA,-34.5322,20.0403,72.72,73,83,6.91,broken clouds
53,Beira,MZ,-19.8436,34.8389,82.49,74,20,5.75,few clouds
54,Butaritari,KI,3.0707,172.7902,81.79,75,88,16.98,overcast clouds
55,Saskylakh,RU,71.9167,114.0833,-22.45,97,70,7.47,broken clouds
56,Flinders,AU,-34.5833,150.8552,63.05,81,47,7.83,scattered clouds
57,Luderitz,NA,-26.6481,15.1594,76.21,63,5,8.1,clear sky
58,Caravelas,BR,-17.7125,-39.2481,85.19,62,83,10.47,broken clouds
59,East London,ZA,-33.0153,27.9116,76.14,88,0,12.66,clear sky
60,Kungurtug,RU,50.5994,97.5228,-8.64,95,94,1.95,overcast clouds
61,Hobart,AU,-42.8794,147.3294,59.25,80,10,4.61,clear sky
62,Fortuna,US,40.5982,-124.1573,43.14,55,1,2.98,clear sky
63,Bairiki,KI,1.3292,172.9752,80.6,83,40,8.05,scattered clouds
64,Grand-Lahou,CI,5.1367,-5.0242,81.01,77,60,9.35,broken clouds
65,Askarovo,RU,53.3372,58.5089,5.95,92,75,4.47,mist
66,Port Alfred,ZA,-33.5906,26.891,74.62,91,21,11.43,few clouds
67,Narsaq,GL,60.9167,-46.05,10.62,54,100,31.65,overcast clouds
68,Ofaqim,IL,31.3141,34.6203,55.74,76,0,3.06,clear sky
